Mass [m/z],Polarity,Start [min],End [min],nCE,CS [z],Comment
658.837219,Positive,55.050067,60.050067, ,2,MH+1316.667162-Scan#17937
414.274017,Positive,57.933933,62.933933, ,2,MH+827.540758-Scan#19275
452.769379,Positive,61.662758,66.662758, ,2,MH+904.531481-Scan#20964
408.263123,Positive,59.732005,64.732005, ,2,MH+815.518968-Scan#20104
463.489075,Positive,32.445269,37.445269, ,4,MH+1850.934469-Scan#6676
463.489014,Positive,32.548793,37.548793, ,4,MH+1850.934225-Scan#6727
452.264832,Positive,35.879932,40.879932, ,2,MH+903.522386-Scan#8398
614.823120,Positive,40.239385,45.239385, ,2,MH+1228.638964-Scan#10605
402.219757,Positive,41.538077,46.538077, ,2,MH+803.432238-Scan#11283
493.765106,Positive,42.697360,47.697360, ,2,MH+986.522936-Scan#11868
475.262787,Positive,44.040956,49.040956, ,2,MH+949.518297-Scan#12543
427.269531,Positive,44.390802,49.390802, ,2,MH+853.531786-Scan#12726
420.767059,Positive,45.780140,50.780140, ,2,MH+840.526842-Scan#13419
565.313171,Positive,46.872410,51.872410, ,2,MH+1129.619066-Scan#13991
572.338806,Positive,47.239648,52.239648, ,2,MH+1143.670336-Scan#14164
457.772095,Positive,51.747840,56.747840, ,2,MH+914.536913-Scan#16355
437.750580,Positive,52.439537,57.439537, ,2,MH+874.493883-Scan#16700
431.746185,Positive,53.229846,58.229846, ,2,MH+862.485094-Scan#17081
533.773926,Positive,57.138578,62.138578, ,2,MH+1066.540575-Scan#18918
536.327942,Positive,58.376401,63.376401, ,2,MH+1071.648607-Scan#19469
408.263947,Positive,59.048451,64.048451, ,2,MH+815.520616-Scan#19782
675.374634,Positive,59.803360,64.803360, ,2,MH+1349.741991-Scan#20134
757.402222,Positive,61.051040,66.051040, ,2,MH+1513.797167-Scan#20687
515.814819,Positive,65.751438,70.751438, ,2,MH+1030.622362-Scan#22626
515.814087,Positive,67.573052,72.573052, ,2,MH+1030.620897-Scan#23324
625.336731,Positive,77.969507,82.969507, ,2,MH+1249.666185-Scan#26639
972.571350,Positive,89.246707,94.246707, ,2,MH+1944.135424-Scan#29172
648.717041,Positive,89.305321,94.305321, ,3,MH+1944.136570-Scan#29201
471.584656,Positive,34.883595,39.883595, ,3,MH+1412.739414-Scan#7919
411.712433,Positive,36.172739,41.172739, ,2,MH+822.417589-Scan#8528
574.797424,Positive,36.403734,41.403734, ,2,MH+1148.587572-Scan#8637
435.722839,Positive,37.367294,42.367294, ,2,MH+870.438402-Scan#9143
479.768707,Positive,38.136070,43.136070, ,2,MH+958.530138-Scan#9541
457.791229,Positive,39.222236,44.222236, ,2,MH+914.575182-Scan#10096
764.885315,Positive,39.719531,44.719531, ,2,MH+1528.763353-Scan#10350
431.284851,Positive,41.536569,46.536569, ,2,MH+861.562426-Scan#11282
452.264465,Positive,42.567592,47.567592, ,2,MH+903.521654-Scan#11799
