Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q15424-2;Q15424;B7ZLP6;A0AV56;F5GZU3;B7Z2F6;K7ES42	Q15424-2;Q15424;B7ZLP6;A0AV56;F5GZU3;B7Z2F6	6;6;6;6;4;4;2	6;6;6;6;4;4;2	2;2;2;2;0;0;2	Scaffold attachment factor B1	SAFB	>sp|Q15424-2|SAFB1_HUMAN Isoform 2 of Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB;>sp|Q15424|SAFB1_HUMAN Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4;>tr|B7ZLP6|B7ZLP6_HUMAN SAFB protein OS=Homo sapiens GN=SAFB PE=2 SV=1;>tr|A0	7	6	6	2	11.7	11.7	2.5	95.18	848	848;915;916;917;747;759;106	1.4328E-55	1.3362	0.95507	24.859	7	104680000	54078000	50601000				0	209;482;483;1495;5979;9389	True;True;True;True;True;True	209;483;484;1500;5989;9404	243;563;564;1780;7221;7222;11215	454;1043;1044;3213;3214;13114;13115;13116;20269	454;1043;1044;3213;13116;20269		
A0AVT1-2;A0AVT1;H0Y8S8	A0AVT1-2;A0AVT1	3;3;1	3;3;1	3;3;1	Ubiquitin-like modifier-activating enzyme 6	UBA6	>sp|A0AVT1-2|UBA6_HUMAN Isoform 2 of Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6;>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1	3	3	3	3	7.4	7.4	7.4	65.756	578	578;1052;271	6.8855E-19	1.7311	1.4683	2.951	2	24716000	7384500	17332000				1	3116;3585;7778	True;True;True	3123;3592;7792	3694;4240;9341	6638;7647;7648;16844	6638;7647;16844		
P0CG06;P0CG05;P0CF74;A0M8Q6;P0CG04;B9A064	P0CG06;P0CG05;P0CF74;A0M8Q6;P0CG04;B9A064	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	Ig lambda-3 chain C regions;Ig lambda-2 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region;Ig lambda-1 chain C regions;Immunoglobulin lambda-like polypeptide 5	IGLC3;IGLC2;IGLC6;IGLC7;IGLC1;IGLL5	>sp|P0CG06|LAC3_HUMAN Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1;>sp|P0CG05|LAC2_HUMAN Ig lambda-2 chain C regions OS=Homo sapiens GN=IGLC2 PE=1 SV=1;>sp|P0CF74|LAC6_HUMAN Ig lambda-6 chain C region OS=Homo sapiens GN=IGLC6 PE=4 SV=1;>s	6	2	2	2	32.1	32.1	32.1	11.237	106	106;106;106;106;106;214	9.2301E-26	0.44886	0.28267	1.0086	2	987210000	648870000	338340000				2	104;12091	True;True	104;12111	117;118;119;120;121;14506;14507	220;221;222;223;224;225;226;227;228;229;230;231;26474;26475;26476;26477	224;26475		
E7ETC2;A1A441;Q08209-2;Q08209;F5H0F8;Q08209-3;Q5F2F8;P16298-2;P16298-3;P16298;P16298-4;A8W6Z8;E9PPC8;E9PK68;H0YC26;P48454-2;P48454;P48454-3	E7ETC2;A1A441;Q08209-2;Q08209;F5H0F8;Q08209-3;Q5F2F8;P16298-2;P16298-3;P16298;P16298-4;A8W6Z8	4;4;4;4;3;3;3;3;3;3;3;2;1;1;1;1;1;1	4;4;4;4;3;3;3;3;3;3;3;2;1;1;1;1;1;1	4;4;4;4;3;3;3;3;3;3;3;2;1;1;1;1;1;1	Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	PPP3CA;PPP3CB	>tr|E7ETC2|E7ETC2_HUMAN Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP3CA PE=2 SV=1;>tr|A1A441|A1A441_HUMAN Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP3CA PE=2 SV=1;>sp|Q08209-2|PP2BA_HUMAN Isoform 2 of Serine/threonine-protein	18	4	4	4	14.9	14.9	14.9	47.815	423	423;454;511;521;411;469;496;514;515;524;525;289;132;147;209;502;512;521	1.0221E-08	1.509	1.3404	20.967	4	29507000	13709000	15798000				3	4097;6272;9871;12177	True;True;True;True	4105;6282;9888;12197	4907;7547;11772;14606	8910;13687;21258;26643;26644	8910;13687;21258;26644		
M0R026;A1L0T0;M0R1B5;E9PL44;M0QZX5;E9PJS0	M0R026;A1L0T0;M0R1B5;E9PL44;M0QZX5;E9PJS0	2;2;1;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	Acetolactate synthase-like protein	ILVBL	>tr|M0R026|M0R026_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=4 SV=1;>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2;>tr|M0R1B5|M0R1B5_HUMAN Acetolactate synthase-like protein (Fragment)	6	2	2	2	8	8	8	56.732	525	525;632;166;166;230;262	1.4113E-43	2.0002	1.75	18.408	2	14071000	4496300	9575000				4	7323;8004	True;True	7335;8017	8816;9611	15898;15899;17325;17326;17327	15899;17327		
Q99798;A2A274	Q99798;A2A274	27;27	27;27	27;27	Aconitate hydratase, mitochondrial	ACO2	>sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2;>tr|A2A274|A2A274_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=2 SV=1	2	27	27	27	43.3	43.3	43.3	85.424	780	780;805	5.7306E-236	5.0588	3.529	19.19	22	1959300000	263300000	1696000000				5	537;1498;1543;1612;1928;2404;3398;3459;3741;3927;4674;5611;5881;6161;6909;7063;7064;7258;8015;8020;8475;8790;9843;10893;10930;10931;12078	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	538;1503;1548;1617;1934;2411;3405;3466;3748;3935;4683;5621;5891;6171;6920;7074;7075;7270;8028;8033;8488;8804;9860;10913;10950;10951;12098	624;1783;1832;1833;1834;1918;2307;2308;2872;4020;4091;4415;4633;4634;5607;6756;7095;7424;8351;8520;8521;8742;9626;9634;9635;10154;10522;11738;13047;13092;13093;13094;13095;13096;14489	1152;3218;3219;3314;3315;3316;3317;3318;3319;3320;3321;3322;3460;4147;4148;4149;4150;4151;4152;5153;5154;7232;7366;7967;8372;8373;8374;10206;12322;12909;13482;15108;15396;15397;15398;15780;15781;17354;17367;17368;17369;17370;17371;18329;19025;19026;19027;21196;23709;23710;23788;23789;23790;23791;23792;23793;23794;23795;23796;23797;23798;23799;23800;23801;26451	1152;3218;3317;3460;4150;5154;7232;7366;7967;8374;10206;12322;12909;13482;15108;15396;15397;15780;17354;17369;18329;19025;21196;23709;23794;23800;26451		
A2A2D0;P16949;P16949-2	A2A2D0;P16949;P16949-2	2;2;2	2;2;2	2;2;2	Stathmin	STMN1	>tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens GN=STMN1 PE=2 SV=1;>sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3;>sp|P16949-2|STMN1_HUMAN Isoform 2 of Stathmin OS=Homo sapiens GN=STMN1	3	2	2	2	29.1	29.1	29.1	9.8642	86	86;149;174	9.7449E-05	NaN	NaN	NaN	1	81519000	65033000	16486000				6	973;2848	True;True	977;2855	1156;3391	2104;6074	2104;6074		
A2A369;Q8NF50-4;Q8NF50-3;Q8NF50-2;Q8NF50	A2A369;Q8NF50-4;Q8NF50-3;Q8NF50-2;Q8NF50	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Dedicator of cytokinesis protein 8	DOCK8	>tr|A2A369|A2A369_HUMAN Dedicator of cytokinesis protein 8 OS=Homo sapiens GN=DOCK8 PE=2 SV=1;>sp|Q8NF50-4|DOCK8_HUMAN Isoform 4 of Dedicator of cytokinesis protein 8 OS=Homo sapiens GN=DOCK8;>sp|Q8NF50-3|DOCK8_HUMAN Isoform 3 of Dedicator of cytokinesis p	5	2	2	2	1.6	1.6	1.6	178.02	1566	1566;1999;2031;2067;2099	6.1893E-08	NaN	NaN	NaN	1	2917000	1715000	1202000				7	2328;7308	True;True	2335;7320	2784;8798	4992;15875	4992;15875		
P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q86XM2	P35611-2;E7EV99;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q86XM2	4;4;4;4;4;4;3;3	4;4;4;4;4;4;3;3	4;4;4;4;4;4;3;3	Alpha-adducin	ADD1	>sp|P35611-2|ADDA_HUMAN Isoform 2 of Alpha-adducin OS=Homo sapiens GN=ADD1;>tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens GN=ADD1 PE=2 SV=1;>tr|A2A3N8|A2A3N8_HUMAN Adducin 1 (Alpha) OS=Homo sapiens GN=ADD1 PE=2 SV=1;>tr|E7ENY0|E7ENY0_HUMAN Alpha-add	8	4	4	4	9.7	9.7	9.7	69.984	631	631;632;662;663;737;768;444;662	1.1654E-09	2.7428	2.3726	26.642	2	24799000	4555200	20244000				8	5975;9710;10707;12043	True;True;True;True	5985;9727;10726;12063	7217;11585;12808;14449	13108;13109;20910;23221;26370	13108;20910;23221;26370		
O15533-4;O15533-2;O15533;D3YTI9;A2AB90;O15533-3;Q5HYV0	O15533-4;O15533-2;O15533;D3YTI9;A2AB90;O15533-3;Q5HYV0	2;2;2;2;2;2;1	2;2;2;2;2;2;1	2;2;2;2;2;2;1	Tapasin	TAPBP	>sp|O15533-4|TPSN_HUMAN Isoform 4 of Tapasin OS=Homo sapiens GN=TAPBP;>sp|O15533-2|TPSN_HUMAN Isoform 2 of Tapasin OS=Homo sapiens GN=TAPBP;>sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1;>tr|D3YTI9|D3YTI9_HUMAN Tapasin OS=Homo sapiens GN=	7	2	2	2	5	5	5	38.365	361	361;412;448;448;466;504;202	1.9931E-06	1.2022	0.93289	8.6808	2	59261000	28406000	30855000				9	9176;11705	True;True	9190;11725	10975;14015	19802;19803;25547;25548;25549	19802;25549		
